Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Domoles,,14,28.60%,3.8,4.3,2.2,4.1,9.5,455,71.60%,32.5,797,0.73,0.26,0.16,0.03,49,-3,-83,35.70%,0%,0,4
Dopaminw,,14,28.60%,2.3,2.6,4.6,7.7,5.8,343,75.50%,17.2,455,1.44,0.24,0.36,0.22,-69,-6,-114,35.70%,0%,0,1
Doran,,41,73.20%,3.3,2.6,2.5,5.7,8.1,398,60.20%,21.6,553,1.07,0.44,0.17,0.22,359,5,167,22%,14.60%,0,13
Doss,,36,52.80%,3.6,0.8,3,9.8,1,247,73.80%,7,170,3.4,1.8,0.38,0.42,-8,2,136,33.30%,13.90%,0,-
DoubleAiM,,21,47.60%,3.5,3.9,3.2,7.2,7.2,385,73%,20.8,566,1.37,0.26,0.31,0.19,258,16,551,42.90%,0%,0,4
DoubleB,,5,0%,1.4,2.4,3.8,3,7.1,346,46%,22.1,558,0.59,0.33,0.08,0.11,-248,-15,-449,0%,20%,0,1
Dove,,30,43.30%,3.5,2.6,2.1,4.8,9,404,58.50%,27.1,648,1.27,0.42,0.31,0.13,-303,-4,-47,3.30%,0%,0,8
Dr Saw,,14,0%,0.4,0.6,5,1.6,6.8,309,44.20%,29.3,498,0.79,0.37,0.11,0.06,-1643,-30,-1448,14.30%,28.60%,0,3
Dragku,,24,58.30%,4.4,1,3.2,12.9,1,263,72.40%,8.1,246,3.03,1.5,0.3,0.28,304,-2,348,33.30%,0%,0,1
Drakehero,,16,6.30%,1.7,1.6,3.8,4.9,5.8,314,76.60%,16.5,317,1.49,0.43,0.43,0.23,-52,0,-27,62.50%,12.50%,0,3
Draktharr,,33,30.30%,2.3,2.7,3.9,6.4,6.5,352,69.80%,19.8,496,1.5,0.41,0.39,0.3,171,2,228,18.20%,12.10%,0,3
Dreilix,,18,22.20%,2.3,4.2,3.6,4.1,8.4,410,61.10%,28.8,703,0.75,0.29,0.21,0.01,-667,-11,-134,11.10%,5.60%,0,1
Driver,,30,53.30%,2.7,2.5,2.9,5.2,8.1,393,56.10%,21,590,1.03,0.46,0.18,0.2,208,8,44,3.30%,16.70%,0,8
Dro,,7,0%,1.2,2.4,4,2.3,8.7,388,72.50%,24.8,505,0.94,0.38,0.15,0.13,-709,-10,-594,14.30%,0%,0,2
DuDu,,44,47.70%,3,2.5,2,3.6,8.8,399,55.30%,19.1,457,0.9,0.31,0.17,0.15,-124,0,-100,9.10%,20.50%,0,10
DuaLL,,18,38.90%,2,0.8,4.8,8.9,1.9,257,69.40%,8.8,238,3.12,1.59,0.44,0.29,131,13,518,16.70%,11.10%,0,1
DuarteV,,19,47.40%,3.2,3.7,2.5,4.3,8.3,412,57%,24.5,605,0.62,0.26,0.13,0.04,-282,-6,60,15.80%,10.50%,0,-
Duduhh,,13,30.80%,2.7,3.2,2.8,4.3,8.8,405,60.70%,23.5,521,0.89,0.32,0.21,0.12,-58,-1,-186,30.80%,23.10%,0,1
Dunks ARCH,,5,40%,1.9,1.6,2.8,3.8,7.1,339,29.30%,16.4,426,0.71,0.32,0.15,0,-610,-17,-95,20%,20%,0,2
Duro,,50,48%,2.7,0.4,3,7.6,1.3,246,69.10%,6,137,3.58,1.91,0.47,0.56,-157,-3,-276,28%,22%,0,1
EL,,20,20%,2.2,2,3.3,5.2,6.3,342,72.40%,20.5,487,1.59,0.51,0.35,0.33,-189,-3,-148,30%,20%,0,3
EasyLove,,19,78.90%,4.8,4.8,2.9,9.4,9,448,67.30%,26.3,817,1.02,0.38,0.31,0.15,-548,-7,-232,36.80%,21.10%,0,3
Eckas,,18,44.40%,5.6,1.7,2,9.6,5.3,319,79.20%,13.6,335,1.51,0.4,0.33,0.28,-312,-7,-233,16.70%,0%,0,-
Eckbard,,18,33.30%,1.8,0.7,5.4,9.1,1.1,249,64.80%,6.8,184,3.13,1.43,0.39,0.36,-246,-3,-216,22.20%,22.20%,0,-
Ecstassy,,31,58.10%,4.7,5.6,2.4,5.7,8.9,441,72.70%,26.1,706,0.91,0.34,0.24,0.08,-90,7,27,29%,3.20%,1,8
EdbyK,,14,14.30%,1.2,2,4.6,3.3,7.8,357,48.50%,26.1,580,0.68,0.24,0.12,0.06,-325,0,-347,14.30%,21.40%,0,7
Edvard,,10,20%,1.4,1,6.3,7.9,0.9,230,55.10%,7.4,209,2.27,1.09,0.17,0.09,-310,3,-12,30%,10%,0,-
Effort,,45,40%,3.1,0.3,2.7,8.2,1.2,239,76%,6.4,146,3.95,2.21,0.5,0.62,-144,-1,-223,26.70%,11.10%,0,-
Efias,,32,59.40%,3.3,0.8,3.4,10.5,1.2,250,75.20%,6.4,162,3.23,1.6,0.38,0.39,88,2,28,40.60%,9.40%,0,-
Efot,,5,0%,1.4,3.2,4.8,3.6,6.5,348,60.70%,23.1,452,1.09,0.2,0.19,0.14,-81,5,158,20%,0%,0,1
Egelynn,,15,26.70%,2.2,2.4,3.5,5.4,5.5,320,63.10%,14.5,299,0.92,0.19,0.22,0.17,-709,-17,-683,26.70%,20%,0,-
Egetz,,12,8.30%,1.2,1,6,6.3,0.9,240,68.20%,11.3,265,2.18,1.06,0.25,0.09,-675,-22,-287,8.30%,16.70%,0,1
Elijah,,14,50%,5.5,3.6,1.7,5.8,8.5,411,53.40%,21.4,589,1.07,0.32,0.19,0.09,436,13,722,14.30%,14.30%,0,18
