Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
100 Thieves,S14,NA,18,50.00%,0.91,1824,-4,29:37:00,12.4,13.7,6.2,5.4,50,50,1.61,43.9,3.6,0.67,66.7,0.5,-0.1,-111,5,0.5,53.1,33,2452,3.2,1.16,1.51
Cloud9,S14,NA,8,25.00%,0.64,1737,-128,32:15:00,8.6,13.3,4.4,8.3,50,75,2.5,55.4,3.4,0.75,75,1.25,0.1,311,4.13,0.38,35.7,33.9,2180,3.3,1.15,1.49
Dignitas,S14,NA,13,38.50%,0.71,1760,-152,31:44:00,11.8,16.8,4.6,7.8,23.1,38.5,2.31,56.5,1.7,0.31,30.8,1.08,-0.4,-1335,5.38,0.62,34.7,32.9,2461,3.2,0.89,1.55
FlyQuest,S14,NA,20,70.00%,1.56,1870,121,33:31:00,15.8,10.1,7.1,5.2,50,30,2.4,53.1,1.7,0.2,21.1,0.7,-0.3,82,4.25,0.95,68.5,33.5,2505,3.3,1.04,1.49
NRG,S14,NA,9,33.30%,0.95,1789,-65,35:02:00,15.3,16.1,5.8,7,55.6,44.4,1.89,37.5,4.4,0.33,37.5,0.56,-0.1,93,5.67,0.67,42.6,31.7,2601,3.9,1.27,1.44
Team Liquid,S14,NA,12,58.30%,1.11,1883,103,32:22:00,14.4,13,7.5,4.8,75,83.3,2,52.8,3.5,0.83,83.3,0.5,1,1198,6.58,0.67,46.7,32.9,2512,3.3,1.21,1.65
