Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Team Bliss,S14,OCE,35,60.00%,1.15,1914,58,29:32:00,16.6,14.4,6.3,5.7,62.9,45.7,2.2,56,3.3,0.66,65.7,1.03,-0.2,324,4.74,0.69,49.2,33.3,2797,3.1,0.97,1.19
Team du Sud,S14,FR,18,22.20%,0.61,1764,-204,35:22:00,11.4,18.7,5.4,8.5,33.3,22.2,2.44,45.3,2.9,0.67,66.7,1,-0.3,-1258,3.5,1,38.5,32.8,2313,3.1,0.98,1.46
Team Flash,S14,VN,33,30.30%,0.78,1787,-143,32:43:00,12.8,16.5,5.6,7.8,45.5,54.5,2.21,45.3,3,0.61,60.6,0.94,0,-115,4.42,0.42,33.3,33,2475,3.8,1.44,1.76
Team GO,S14,FR,57,57.90%,1.19,1874,53,33:11:00,14.4,12.1,6.7,6.3,50.9,59.6,2.35,49.2,3.1,0.47,47.4,0.84,0.2,900,4.84,0.82,51.8,34.5,2637,3.4,1.24,1.65
Team Heretics,S14,EUW,14,28.60%,0.83,1769,-109,32:05:00,11.4,13.6,4.9,6.9,42.9,42.9,2.21,49.2,3.7,0.5,50,0.86,0,-306,3.29,0.36,36.1,33.4,2107,3.7,1.14,1.77
Team Liquid,S14,NA,25,80.00%,1.67,1965,246,30:09:00,17.7,10.6,8.4,3.4,60,72,2.48,66.5,3.3,0.64,64,0.84,0.7,1836,6.96,0.92,76.1,33.1,2895,3.5,1.27,1.63
Team Liquid Challengers,S14,NA,28,42.90%,1.03,1845,-4,36:15:00,16.9,16.4,6.1,6.5,53.6,57.1,2.93,55,2.9,0.43,42.9,0.86,0.2,757,5.11,0.96,48.8,33.3,2884,3.7,1.29,1.46
Team Paradox,S14,GR,14,42.90%,0.66,1761,-231,28:46:00,12.9,19.3,4.4,7.8,21.4,28.6,1.93,46.8,1.8,0.21,21.4,0.86,-0.5,-2214,2.86,0.71,39.3,31.1,2231,2.6,0.64,1.11
Team Phantasma,S14,GR,29,75.90%,1.38,2045,272,30:40:00,21.3,15.4,8.4,4.1,58.6,72.4,1.72,46.6,3.7,0.48,51.9,0.45,0.9,2376,6.24,0.97,66.1,34,3122,3.2,1.1,1.38
Team Refuse,S14,GR,26,46.20%,0.96,1881,-32,32:04:00,16.9,17.7,5.6,6.7,46.2,61.5,2.35,49.4,2.3,0.15,16,0.92,-0.1,-604,3.88,0.69,40.7,33.2,2802,3.1,0.77,1.29
Team Secret,S14,VN,34,52.90%,1.22,1914,94,32:37:00,16.3,13.3,6.4,5.9,61.8,61.8,2.53,53.9,3,0.56,55.9,0.97,0.1,1382,4.44,0.74,53.5,34.7,2615,3.8,1.33,1.8
Team UNiTY,S14,CZ,28,53.60%,0.99,1855,-32,31:15:00,14.2,14.4,5.6,6.4,57.1,53.6,2.25,55.3,2.3,0.57,57.1,0.89,0,-244,3.61,0.68,42.9,33.5,2439,2.8,0.67,1.25
Team Vitality,S14,EUW,10,20.00%,0.64,1787,-120,31:23:00,10.1,15.8,5.5,7.5,70,40,2.3,52.7,3.1,0.4,44.4,1.22,-0.1,699,5,0.7,46.3,33.1,2280,3.3,1.07,1.61
Team WE,S14,CN,29,37.90%,0.75,1802,-89,32:34:00,10.8,14.3,5.3,7,44.8,34.5,1.79,37.8,3.4,0.55,55.2,-,-,-526,-,0.55,44,34.4,2277,3.8,1.26,1.89
Team Whales,S14,VN,42,40.50%,0.85,1788,-125,31:44:00,12,14.1,5.1,6.9,54.8,21.4,1.95,40.5,2.9,0.4,40.5,0.83,-0.4,-1050,3.81,0.6,42.9,33.7,2403,3.8,1.45,1.88
TeamOrangeGaming,S14,DE,22,63.60%,1.11,1948,114,30:10:00,19,17.1,8.4,5.4,63.6,68.2,2.64,63.4,2.7,0.41,40.9,1.27,0.2,652,6.27,0.91,67.5,31.3,3140,3,0.88,1.12
Top Esports,S14,CN,54,72.20%,1.24,1953,171,31:06:00,14.4,11.6,7.9,4.4,44.4,55.6,2.39,57.4,3.3,0.67,66.7,0.88,0.3,756,5.63,0.91,71.4,35.1,2687,3.4,1.1,1.8
Tropa Raizen,S14,BR,13,38.50%,0.83,1773,-116,29:58:00,12.4,14.9,4.8,6.3,46.2,30.8,1.77,42.3,2.9,0.38,38.5,0.77,-0.1,-1126,3,0.92,59.6,32.2,2100,3.1,1.09,1.37
TT,S14,CN,37,54.10%,1.06,1901,42,32:03:00,14.4,13.6,6.5,6.1,37.8,54.1,2.81,63.7,3.1,0.51,51.4,-,-,154,-,0.81,55.7,35.2,2539,3.5,1.29,1.75
Twisted Minds,S14,AL,24,58.30%,1.39,1911,90,30:33:00,18.5,13.3,7,5.4,83.3,50,2.54,56.7,3,0.58,58.3,1.17,0,658,5.46,0.75,59.1,32.5,2702,2.9,1.06,1.27
UCAM Tokiers,S14,ES,33,54.50%,1.07,1825,3,33:07:00,14.4,13.4,6.9,6.4,51.5,57.6,1.7,38.5,2.8,0.58,57.6,0.48,0.2,463,5.55,1.12,59.6,31.7,2547,3.4,1.15,1.44
Ultra Prime,S14,CN,35,37.10%,0.99,1846,-57,33:29:00,12.7,12.8,5.6,7.3,51.4,60,2.14,46.9,3.3,0.49,48.6,-,-,304,-,0.71,41.8,34.4,2239,3.8,1.26,1.87
Unicorns Of Love Sexy Edition,S14,DE,46,63.00%,1.4,1924,131,32:25:00,16.6,11.8,7.5,5.4,45.7,56.5,2.24,53.5,2.7,0.41,42.2,0.87,0.2,562,5.61,0.76,54.4,34.3,2642,3.5,1.01,1.48
V3 Esports,S14,JP,24,29.20%,0.75,1782,-170,31:49:00,13,17.4,5.2,7.7,45.8,25,1.67,35.7,2.5,0.5,50,0.58,-0.3,-1147,3.96,0.58,30.6,32.1,2582,3.6,1.45,1.5
Veni Vidi Vici,S14,ES,21,90.50%,1.97,2047,354,31:10:00,18.2,9.2,9.7,2.9,33.3,57.1,2.9,66.3,4.5,0.81,81,0.86,0.3,939,6.19,1.48,88.9,35.3,2826,2.7,0.82,1.34
Venomcrest Esports,S14,EUW,36,58.30%,1.07,1916,71,31:00:00,15.8,14.6,7.2,5.9,41.7,50,2.39,54.3,2.5,0.47,47.2,0.97,0.1,117,4.97,0.86,58.6,33.9,2784,3,0.77,1.32
Venus,S14,TR,18,16.70%,0.6,1665,-359,28:18:00,11.1,18.6,2.9,8.2,55.6,22.2,1.61,41.7,2.3,0.28,29.4,1.11,-0.5,-1957,2.11,0.17,17.6,31,2047,2.6,0.85,1.02
Verdant,S14,EUW,14,28.60%,0.69,1797,-190,33:22:00,14.1,20.4,4.8,9,42.9,14.3,2.14,41.3,2.2,0.29,28.6,1,-0.4,-1303,2.86,0.57,23.1,32.3,2513,2.9,0.84,1.18
Vikings Esports,S14,VN,43,74.40%,1.3,2024,225,32:16:00,17.8,13.7,8.1,4.2,34.9,79.1,2.77,63.9,3.2,0.44,44.2,1.05,0.8,1332,6.09,0.93,71.9,36.1,3044,4.1,1.09,2
