Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Yasuo,88,104,5%,49,39,56%,2.9,6,31:24:00,8.9,478,422,10.7,170,281
Zac,100,79,5%,41,59,41%,2.4,5,30:36:00,6.2,429,338,-6.7,-228,-115
Volibear,104,61,5%,55,49,53%,2.9,5.9,31:46:00,6.2,449,358,-4.3,-221,-242
Seraphine,88,74,4%,45,43,51%,4.8,5.4,30:46:00,4.1,354,316,-1,57,241
Jarvan IV,81,80,4%,43,38,53%,3.7,7.7,30:17:00,5.5,333,345,-7.8,-66,-247
Karma,72,86,4%,32,40,44%,3.4,6.1,30:57:00,3.8,426,301,-3.7,32,20
Sion,94,53,4%,44,50,47%,2.6,6.3,31:31:00,7.2,425,355,-3.6,-285,-75
Neeko,70,76,4%,34,36,49%,3,6.1,31:30:00,4.9,471,326,-6.2,33,-46
Vayne,69,75,4%,37,32,54%,2.9,8,30:24:00,8.4,626,422,12.2,325,89
Kindred,64,78,4%,29,35,45%,2.9,5.3,32:15:00,7.3,545,395,8.1,282,358
Nocturne,66,65,4%,37,29,56%,3.6,5.4,31:35:00,6.4,364,360,5.5,258,254
Fiora,42,88,4%,23,19,55%,2,5.5,29:56:00,8.8,647,447,6.8,410,29
Mordekaiser,86,38,3%,46,40,53%,1.9,8.7,31:07:00,7.8,567,380,5.1,138,81
Blitzcrank,61,61,3%,30,31,49%,2.5,8.1,31:55:00,1,190,244,-1.6,-133,-344
Amumu,79,42,3%,34,45,43%,2.2,6,31:18:00,4.8,361,320,1.9,31,75
Tryndamere,35,84,3%,18,17,51%,2.7,5.3,32:17:00,9.9,526,465,-1,205,83
Lulu,60,54,3%,21,39,35%,4.6,8.2,31:32:00,1.2,183,244,-5.6,-98,175
Nami,100,13,3%,56,44,56%,4.7,7.7,30:53:00,1,213,252,-5.2,1,33
Shyvana,69,42,3%,31,38,45%,2.7,5.2,31:55:00,7.7,707,389,14.4,246,444
Pyke,45,58,3%,30,15,67%,3.1,5,31:02:00,1.5,253,307,0,402,5
RekSai,74,25,3%,35,39,47%,3.1,6.4,30:44:00,5.9,322,351,-4.1,-35,-220
Akali,52,43,3%,21,31,40%,2.5,7.3,31:16:00,8.2,510,391,-1.2,-233,3
Diana,57,38,3%,25,32,44%,2.8,6.2,29:16:00,7,465,385,-2.7,145,10
Milio,54,40,3%,24,30,44%,4.1,7.9,29:10:00,1,126,249,-3.5,-92,95
Dr. Mundo,57,32,2%,33,24,58%,3.3,8,31:13:00,8.1,766,408,-8.4,-341,-196
Bard,55,33,2%,27,28,49%,4.4,7.2,32:51:00,1.1,225,253,-9.2,40,103
Cassiopeia,25,58,2%,9,16,36%,2.4,3.5,30:36:00,8.5,547,397,-0.8,-141,-186
Galio,45,31,2%,23,22,51%,3.2,5.6,32:07:00,4.9,360,319,-8,-329,-107
